# written 2026-09-24 by tools/scoreboard.py cases
# seed 20260924, split (('pn_diode', 60), ('mos_cap', 40), ('nmos', 100)), 4 significant digits
# knobs not listed keep the constructor default
case,device,knobs,redraws
m033,nmos,"{""L_gate"": 6.592e-05, ""substrate_doping"": -9232000000000000.0, ""sd_peak"": 2.366e+19, ""x_j"": 4.895e-05, ""lateral_diffusion"": 1.095e-06, ""t_ox"": 3.866e-07, ""work_function"": 4.014, ""gate_voltage"": 1.235, ""drain_voltage"": -0.1779}",3
m034,nmos,"{""L_gate"": 4.234e-05, ""substrate_doping"": -6464000000000000.0, ""sd_peak"": 2.818e+18, ""x_j"": 3.099e-06, ""lateral_diffusion"": 2.23e-06, ""t_ox"": 3.124e-07, ""work_function"": 4.954, ""gate_voltage"": -0.2173, ""drain_voltage"": -0.4992}",1
m035,nmos,"{""L_gate"": 1.93e-05, ""substrate_doping"": -6.808e+16, ""sd_peak"": 3.283e+18, ""x_j"": 2.043e-05, ""lateral_diffusion"": 2.311e-06, ""t_ox"": 3.2e-06, ""work_function"": 4.965, ""gate_voltage"": 1.032, ""drain_voltage"": 1.681}",0
m036,nmos,"{""L_gate"": 3.083e-05, ""substrate_doping"": -3.712e+16, ""sd_peak"": 1.098e+19, ""x_j"": 4.953e-05, ""lateral_diffusion"": 1.875e-06, ""t_ox"": 3.709e-07, ""work_function"": 4.092, ""gate_voltage"": -0.9555, ""drain_voltage"": 1.471}",0
m037,nmos,"{""L_gate"": 1.632e-05, ""substrate_doping"": -1.468e+18, ""sd_peak"": 7.65e+19, ""x_j"": 8.618e-06, ""lateral_diffusion"": 2.243e-06, ""t_ox"": 3.674e-06, ""work_function"": 4.535, ""gate_voltage"": -0.5036, ""drain_voltage"": 1.702}",0
m038,nmos,"{""L_gate"": 5.135e-06, ""substrate_doping"": -7827000000000000.0, ""sd_peak"": 4.585e+18, ""x_j"": 1.971e-05, ""lateral_diffusion"": 1.059e-06, ""t_ox"": 3.553e-07, ""work_function"": 4.263, ""gate_voltage"": 0.6168, ""drain_voltage"": -0.3661}",0
m039,nmos,"{""L_gate"": 8.321e-06, ""substrate_doping"": -4.108e+17, ""sd_peak"": 4.388e+19, ""x_j"": 6.309e-06, ""lateral_diffusion"": 3.444e-06, ""t_ox"": 5.317e-06, ""work_function"": 4.44, ""gate_voltage"": -0.3957, ""drain_voltage"": 0.5844}",0
m040,nmos,"{""L_gate"": 0.0001621, ""substrate_doping"": -3.871e+18, ""sd_peak"": 5.159e+19, ""x_j"": 2.72e-05, ""lateral_diffusion"": 5.442e-06, ""t_ox"": 1.654e-06, ""work_function"": 4.921, ""gate_voltage"": -0.7424, ""drain_voltage"": 1.613}",0
m041,nmos,"{""L_gate"": 0.0001392, ""substrate_doping"": -1.803e+16, ""sd_peak"": 9.347e+18, ""x_j"": 1.199e-05, ""lateral_diffusion"": 7.259e-06, ""t_ox"": 1.296e-06, ""work_function"": 4.22, ""gate_voltage"": 0.8404, ""drain_voltage"": 1.203}",0
m042,nmos,"{""L_gate"": 9.372e-05, ""substrate_doping"": -2.29e+18, ""sd_peak"": 5.184e+19, ""x_j"": 6.639e-06, ""lateral_diffusion"": 2.121e-05, ""t_ox"": 2.103e-06, ""work_function"": 4.79, ""gate_voltage"": 1.381, ""drain_voltage"": 1.613}",0
m043,nmos,"{""L_gate"": 1.872e-05, ""substrate_doping"": -1324000000000000.0, ""sd_peak"": 7.978e+18, ""x_j"": 1.141e-05, ""lateral_diffusion"": 6.918e-06, ""t_ox"": 1.824e-06, ""work_function"": 4.792, ""gate_voltage"": 2.131, ""drain_voltage"": 1.968}",1
m044,nmos,"{""L_gate"": 0.0002108, ""substrate_doping"": -366200000000000.0, ""sd_peak"": 1.088e+18, ""x_j"": 3.544e-05, ""lateral_diffusion"": 2.197e-06, ""t_ox"": 1.93e-07, ""work_function"": 4.111, ""gate_voltage"": 1.189, ""drain_voltage"": 0.3654}",1
m045,nmos,"{""L_gate"": 4.126e-05, ""substrate_doping"": -5217000000000000.0, ""sd_peak"": 1.639e+19, ""x_j"": 7.798e-06, ""lateral_diffusion"": 1.932e-05, ""t_ox"": 1.203e-06, ""work_function"": 5.184, ""gate_voltage"": 1.146, ""drain_voltage"": 0.7822}",0
m046,nmos,"{""L_gate"": 0.000182, ""substrate_doping"": -6.333e+16, ""sd_peak"": 6.913e+18, ""x_j"": 4.245e-06, ""lateral_diffusion"": 2.012e-05, ""t_ox"": 3.607e-07, ""work_function"": 5.112, ""gate_voltage"": 0.8506, ""drain_voltage"": 0.1008}",0
m047,nmos,"{""L_gate"": 2.795e-05, ""substrate_doping"": -1.703e+16, ""sd_peak"": 8.259e+19, ""x_j"": 3.967e-05, ""lateral_diffusion"": 1.306e-06, ""t_ox"": 2.659e-07, ""work_function"": 4.922, ""gate_voltage"": -0.3135, ""drain_voltage"": 0.4939}",0
m048,nmos,"{""L_gate"": 8.769e-06, ""substrate_doping"": -139800000000000.0, ""sd_peak"": 8.46e+18, ""x_j"": 3.013e-06, ""lateral_diffusion"": 3.379e-06, ""t_ox"": 1.114e-06, ""work_function"": 4.742, ""gate_voltage"": 0.8116, ""drain_voltage"": 1.081}",1
m049,nmos,"{""L_gate"": 3.721e-05, ""substrate_doping"": -2.374e+16, ""sd_peak"": 1.498e+18, ""x_j"": 2.346e-05, ""lateral_diffusion"": 1.529e-06, ""t_ox"": 7.942e-07, ""work_function"": 4.702, ""gate_voltage"": 2.295, ""drain_voltage"": -0.2183}",1
m050,nmos,"{""L_gate"": 4.723e-05, ""substrate_doping"": -546900000000000.0, ""sd_peak"": 4.013e+18, ""x_j"": 6.712e-06, ""lateral_diffusion"": 6.253e-06, ""t_ox"": 1.008e-06, ""work_function"": 5.207, ""gate_voltage"": 2.439, ""drain_voltage"": 1.582}",2
m051,nmos,"{""L_gate"": 0.0001324, ""substrate_doping"": -2.186e+16, ""sd_peak"": 1.317e+19, ""x_j"": 2.645e-05, ""lateral_diffusion"": 2.231e-05, ""t_ox"": 3.117e-07, ""work_function"": 4.302, ""gate_voltage"": -0.9037, ""drain_voltage"": -0.052}",0
m052,nmos,"{""L_gate"": 3.365e-05, ""substrate_doping"": -7.027e+18, ""sd_peak"": 2.684e+19, ""x_j"": 6.273e-06, ""lateral_diffusion"": 3.218e-06, ""t_ox"": 3.579e-06, ""work_function"": 5.212, ""gate_voltage"": -0.09837, ""drain_voltage"": -0.3452}",0
m053,nmos,"{""L_gate"": 2.157e-05, ""substrate_doping"": -1.465e+17, ""sd_peak"": 1.375e+18, ""x_j"": 2.57e-05, ""lateral_diffusion"": 2.779e-06, ""t_ox"": 6.817e-06, ""work_function"": 4.049, ""gate_voltage"": 2.317, ""drain_voltage"": 1.825}",0
m054,nmos,"{""L_gate"": 0.0001288, ""substrate_doping"": -1.966e+17, ""sd_peak"": 2.955e+18, ""x_j"": 1.032e-05, ""lateral_diffusion"": 1.155e-06, ""t_ox"": 1.175e-07, ""work_function"": 4.318, ""gate_voltage"": 1.803, ""drain_voltage"": 0.8234}",0
m055,nmos,"{""L_gate"": 2.325e-05, ""substrate_doping"": -1168000000000000.0, ""sd_peak"": 1.396e+18, ""x_j"": 2.765e-06, ""lateral_diffusion"": 2.228e-06, ""t_ox"": 2.342e-07, ""work_function"": 4.485, ""gate_voltage"": 0.9648, ""drain_voltage"": -0.3032}",0
m056,nmos,"{""L_gate"": 0.0001353, ""substrate_doping"": -3.79e+18, ""sd_peak"": 6.619e+19, ""x_j"": 5.61e-06, ""lateral_diffusion"": 1.046e-05, ""t_ox"": 1.864e-06, ""work_function"": 4.102, ""gate_voltage"": 0.07194, ""drain_voltage"": 0.3026}",0
m057,nmos,"{""L_gate"": 0.0001459, ""substrate_doping"": -3510000000000000.0, ""sd_peak"": 8.462e+19, ""x_j"": 7.031e-06, ""lateral_diffusion"": 1.414e-05, ""t_ox"": 4.242e-06, ""work_function"": 4.094, ""gate_voltage"": -0.7877, ""drain_voltage"": 0.1956}",0
m058,nmos,"{""L_gate"": 0.0001242, ""substrate_doping"": -3034000000000000.0, ""sd_peak"": 1.557e+18, ""x_j"": 1.141e-05, ""lateral_diffusion"": 5.09e-06, ""t_ox"": 1.019e-06, ""work_function"": 4.242, ""gate_voltage"": 1.28, ""drain_voltage"": 0.7645}",0
m059,nmos,"{""L_gate"": 2.729e-05, ""substrate_doping"": -770800000000000.0, ""sd_peak"": 7.337e+19, ""x_j"": 2.033e-05, ""lateral_diffusion"": 5.028e-06, ""t_ox"": 1.768e-06, ""work_function"": 4.891, ""gate_voltage"": 0.7541, ""drain_voltage"": 1.771}",0
m060,nmos,"{""L_gate"": 0.0001282, ""substrate_doping"": -3106000000000000.0, ""sd_peak"": 1.894e+19, ""x_j"": 2.979e-05, ""lateral_diffusion"": 2.25e-05, ""t_ox"": 3.773e-07, ""work_function"": 4.776, ""gate_voltage"": 0.1545, ""drain_voltage"": 1.576}",1
m061,nmos,"{""L_gate"": 7.267e-05, ""substrate_doping"": -7.698e+16, ""sd_peak"": 4.907e+18, ""x_j"": 3.497e-05, ""lateral_diffusion"": 2.005e-05, ""t_ox"": 1.455e-06, ""work_function"": 4.362, ""gate_voltage"": 2.197, ""drain_voltage"": -0.335}",1
m062,nmos,"{""L_gate"": 5.729e-05, ""substrate_doping"": -3894000000000000.0, ""sd_peak"": 3.615e+19, ""x_j"": 3.747e-05, ""lateral_diffusion"": 1.856e-05, ""t_ox"": 5.736e-06, ""work_function"": 4.056, ""gate_voltage"": 0.4022, ""drain_voltage"": 0.9253}",0
m063,nmos,"{""L_gate"": 0.0001504, ""substrate_doping"": -970600000000000.0, ""sd_peak"": 1.211e+19, ""x_j"": 6.374e-06, ""lateral_diffusion"": 2.783e-06, ""t_ox"": 9.109e-07, ""work_function"": 4.834, ""gate_voltage"": 0.5054, ""drain_voltage"": 0.4282}",1
m064,nmos,"{""L_gate"": 0.0001021, ""substrate_doping"": -7.132e+17, ""sd_peak"": 2.607e+18, ""x_j"": 1.342e-05, ""lateral_diffusion"": 2.666e-06, ""t_ox"": 1.96e-06, ""work_function"": 4.895, ""gate_voltage"": 0.09548, ""drain_voltage"": 0.01959}",0
m065,nmos,"{""L_gate"": 6.94e-05, ""substrate_doping"": -7226000000000000.0, ""sd_peak"": 1.14e+19, ""x_j"": 3.925e-06, ""lateral_diffusion"": 5.696e-06, ""t_ox"": 4.651e-07, ""work_function"": 5.27, ""gate_voltage"": 1.427, ""drain_voltage"": 1.468}",0
m066,nmos,"{""L_gate"": 7.737e-05, ""substrate_doping"": -2.3e+18, ""sd_peak"": 7.092e+19, ""x_j"": 8.186e-06, ""lateral_diffusion"": 3.628e-06, ""t_ox"": 2.216e-06, ""work_function"": 4.894, ""gate_voltage"": 1.034, ""drain_voltage"": 0.9377}",1
m067,nmos,"{""L_gate"": 8.364e-05, ""substrate_doping"": -6.974e+16, ""sd_peak"": 1.787e+19, ""x_j"": 3.876e-06, ""lateral_diffusion"": 1.812e-06, ""t_ox"": 3.188e-06, ""work_function"": 4.048, ""gate_voltage"": 0.6013, ""drain_voltage"": -0.2238}",0
m068,nmos,"{""L_gate"": 0.0001628, ""substrate_doping"": -228500000000000.0, ""sd_peak"": 3.3e+18, ""x_j"": 1.594e-05, ""lateral_diffusion"": 3.036e-06, ""t_ox"": 5.802e-06, ""work_function"": 4.763, ""gate_voltage"": -0.5025, ""drain_voltage"": 0.3062}",0
m069,nmos,"{""L_gate"": 8.06e-05, ""substrate_doping"": -1.889e+17, ""sd_peak"": 3.154e+19, ""x_j"": 2.856e-05, ""lateral_diffusion"": 1.684e-06, ""t_ox"": 7.69e-07, ""work_function"": 5.206, ""gate_voltage"": 0.6893, ""drain_voltage"": 1.416}",1
m070,nmos,"{""L_gate"": 9.408e-05, ""substrate_doping"": -1.341e+17, ""sd_peak"": 1.534e+18, ""x_j"": 1.345e-05, ""lateral_diffusion"": 1.153e-06, ""t_ox"": 2.166e-06, ""work_function"": 4.529, ""gate_voltage"": -0.8845, ""drain_voltage"": 1.189}",0
m071,nmos,"{""L_gate"": 4.437e-05, ""substrate_doping"": -1.177e+17, ""sd_peak"": 1.255e+19, ""x_j"": 8.719e-06, ""lateral_diffusion"": 2.185e-06, ""t_ox"": 7.137e-06, ""work_function"": 5.169, ""gate_voltage"": 1.563, ""drain_voltage"": -0.1365}",0
m072,nmos,"{""L_gate"": 1.312e-05, ""substrate_doping"": -6.018e+16, ""sd_peak"": 2.159e+19, ""x_j"": 4.635e-06, ""lateral_diffusion"": 3.107e-06, ""t_ox"": 4.325e-07, ""work_function"": 4.294, ""gate_voltage"": -0.005405, ""drain_voltage"": 0.9479}",0
m073,nmos,"{""L_gate"": 6.238e-05, ""substrate_doping"": -1.205e+17, ""sd_peak"": 4.536e+19, ""x_j"": 3.343e-06, ""lateral_diffusion"": 2.978e-06, ""t_ox"": 8.073e-06, ""work_function"": 4.234, ""gate_voltage"": 1.728, ""drain_voltage"": 1.551}",0
m074,nmos,"{""L_gate"": 0.0002008, ""substrate_doping"": -1.197e+16, ""sd_peak"": 2.998e+19, ""x_j"": 1.303e-05, ""lateral_diffusion"": 8.272e-06, ""t_ox"": 4.632e-06, ""work_function"": 5.102, ""gate_voltage"": 1.561, ""drain_voltage"": 1.113}",0
m075,nmos,"{""L_gate"": 2.527e-05, ""substrate_doping"": -7090000000000000.0, ""sd_peak"": 4.194e+18, ""x_j"": 1.978e-05, ""lateral_diffusion"": 3.191e-06, ""t_ox"": 6.953e-07, ""work_function"": 4.328, ""gate_voltage"": -0.2639, ""drain_voltage"": 0.4906}",0
m076,nmos,"{""L_gate"": 1.249e-05, ""substrate_doping"": -1.053e+18, ""sd_peak"": 2.246e+18, ""x_j"": 1.816e-05, ""lateral_diffusion"": 2.648e-06, ""t_ox"": 1.826e-06, ""work_function"": 4.73, ""gate_voltage"": 1.363, ""drain_voltage"": 1.476}",0
m077,nmos,"{""L_gate"": 0.0001311, ""substrate_doping"": -5.14e+16, ""sd_peak"": 3.011e+19, ""x_j"": 2.155e-05, ""lateral_diffusion"": 1.508e-05, ""t_ox"": 2.931e-07, ""work_function"": 4.216, ""gate_voltage"": 1.149, ""drain_voltage"": 1.146}",0
m078,nmos,"{""L_gate"": 3.584e-05, ""substrate_doping"": -3.931e+17, ""sd_peak"": 1.904e+18, ""x_j"": 7.48e-06, ""lateral_diffusion"": 3.461e-06, ""t_ox"": 1.702e-06, ""work_function"": 4.844, ""gate_voltage"": 0.0727, ""drain_voltage"": 1.515}",0
m079,nmos,"{""L_gate"": 0.0002089, ""substrate_doping"": -1.346e+16, ""sd_peak"": 3.908e+19, ""x_j"": 3.91e-05, ""lateral_diffusion"": 2.827e-05, ""t_ox"": 6.937e-07, ""work_function"": 4.466, ""gate_voltage"": 1.191, ""drain_voltage"": 1.516}",0
m080,nmos,"{""L_gate"": 8.017e-06, ""substrate_doping"": -3575000000000000.0, ""sd_peak"": 1.152e+19, ""x_j"": 4.542e-05, ""lateral_diffusion"": 1.373e-06, ""t_ox"": 1.931e-06, ""work_function"": 4.306, ""gate_voltage"": -0.5912, ""drain_voltage"": 0.3911}",0
m081,nmos,"{""L_gate"": 7.167e-06, ""substrate_doping"": -1.451e+16, ""sd_peak"": 8.666e+18, ""x_j"": 2.605e-05, ""lateral_diffusion"": 1.688e-06, ""t_ox"": 5.954e-06, ""work_function"": 4.32, ""gate_voltage"": 2.337, ""drain_voltage"": 0.7757}",0
m082,nmos,"{""L_gate"": 6.744e-06, ""substrate_doping"": -1412000000000000.0, ""sd_peak"": 1.771e+19, ""x_j"": 6.896e-06, ""lateral_diffusion"": 2.5e-06, ""t_ox"": 5.465e-07, ""work_function"": 4.864, ""gate_voltage"": 1.786, ""drain_voltage"": -0.3125}",0
m083,nmos,"{""L_gate"": 8.409e-06, ""substrate_doping"": -796800000000000.0, ""sd_peak"": 1.853e+18, ""x_j"": 1.916e-05, ""lateral_diffusion"": 1.209e-06, ""t_ox"": 4.61e-07, ""work_function"": 4.707, ""gate_voltage"": -0.08911, ""drain_voltage"": -0.0159}",1
m084,nmos,"{""L_gate"": 2.03e-05, ""substrate_doping"": -7435000000000000.0, ""sd_peak"": 2.096e+19, ""x_j"": 4.644e-05, ""lateral_diffusion"": 5.811e-06, ""t_ox"": 1.848e-06, ""work_function"": 4.645, ""gate_voltage"": -0.2032, ""drain_voltage"": 0.00941}",0
m085,nmos,"{""L_gate"": 1.891e-05, ""substrate_doping"": -3.463e+17, ""sd_peak"": 2.882e+18, ""x_j"": 3.663e-05, ""lateral_diffusion"": 7.378e-06, ""t_ox"": 1.02e-06, ""work_function"": 4.954, ""gate_voltage"": -0.7125, ""drain_voltage"": -0.2055}",1
m086,nmos,"{""L_gate"": 4.691e-05, ""substrate_doping"": -319400000000000.0, ""sd_peak"": 1.926e+19, ""x_j"": 3.729e-06, ""lateral_diffusion"": 1.153e-06, ""t_ox"": 3.898e-06, ""work_function"": 5.199, ""gate_voltage"": -0.2837, ""drain_voltage"": 1.113}",0
m087,nmos,"{""L_gate"": 6.587e-05, ""substrate_doping"": -3.326e+17, ""sd_peak"": 4.633e+18, ""x_j"": 1.175e-05, ""lateral_diffusion"": 3.747e-06, ""t_ox"": 4.807e-06, ""work_function"": 4.909, ""gate_voltage"": 1.324, ""drain_voltage"": 0.1677}",0
m088,nmos,"{""L_gate"": 8.925e-05, ""substrate_doping"": -4.644e+16, ""sd_peak"": 6.15e+19, ""x_j"": 7.139e-06, ""lateral_diffusion"": 3.384e-06, ""t_ox"": 7.223e-06, ""work_function"": 5.085, ""gate_voltage"": 0.6416, ""drain_voltage"": -0.01826}",0
m089,nmos,"{""L_gate"": 2.709e-05, ""substrate_doping"": -4.263e+16, ""sd_peak"": 2.708e+19, ""x_j"": 1.235e-05, ""lateral_diffusion"": 9.704e-06, ""t_ox"": 8.066e-06, ""work_function"": 5.2, ""gate_voltage"": 0.2331, ""drain_voltage"": 0.03284}",1
m090,nmos,"{""L_gate"": 4.168e-05, ""substrate_doping"": -1.175e+16, ""sd_peak"": 2.317e+19, ""x_j"": 1.506e-05, ""lateral_diffusion"": 1.684e-05, ""t_ox"": 6.063e-07, ""work_function"": 4.957, ""gate_voltage"": 0.3913, ""drain_voltage"": 1.95}",0
m091,nmos,"{""L_gate"": 5.467e-06, ""substrate_doping"": -3.196e+17, ""sd_peak"": 9.675e+18, ""x_j"": 2.861e-05, ""lateral_diffusion"": 1.502e-06, ""t_ox"": 1.211e-06, ""work_function"": 4.407, ""gate_voltage"": 0.7957, ""drain_voltage"": -0.1851}",1
m092,nmos,"{""L_gate"": 0.0001069, ""substrate_doping"": -7.167e+18, ""sd_peak"": 3.628e+19, ""x_j"": 5.809e-06, ""lateral_diffusion"": 1.85e-05, ""t_ox"": 4.886e-06, ""work_function"": 4.571, ""gate_voltage"": 1.516, ""drain_voltage"": 0.3688}",0
m093,nmos,"{""L_gate"": 2.006e-05, ""substrate_doping"": -353500000000000.0, ""sd_peak"": 2.672e+18, ""x_j"": 2.403e-05, ""lateral_diffusion"": 1.724e-06, ""t_ox"": 7.223e-07, ""work_function"": 4.539, ""gate_voltage"": 2.241, ""drain_voltage"": 1.797}",0
m094,nmos,"{""L_gate"": 2.578e-05, ""substrate_doping"": -539700000000000.0, ""sd_peak"": 1.144e+19, ""x_j"": 4.808e-05, ""lateral_diffusion"": 4.792e-06, ""t_ox"": 2.186e-06, ""work_function"": 5.092, ""gate_voltage"": 1.782, ""drain_voltage"": 1.833}",1
m095,nmos,"{""L_gate"": 9.114e-05, ""substrate_doping"": -196300000000000.0, ""sd_peak"": 7.332e+19, ""x_j"": 1.178e-05, ""lateral_diffusion"": 1.619e-06, ""t_ox"": 3.152e-07, ""work_function"": 5.23, ""gate_voltage"": 0.365, ""drain_voltage"": 0.01389}",1
m096,nmos,"{""L_gate"": 3.257e-05, ""substrate_doping"": -340100000000000.0, ""sd_peak"": 7.708e+19, ""x_j"": 9.663e-06, ""lateral_diffusion"": 6.949e-06, ""t_ox"": 1.362e-06, ""work_function"": 4.353, ""gate_voltage"": 1.557, ""drain_voltage"": 1.752}",0
m097,nmos,"{""L_gate"": 4.592e-05, ""substrate_doping"": -1788000000000000.0, ""sd_peak"": 1.97e+18, ""x_j"": 9.181e-06, ""lateral_diffusion"": 1.333e-05, ""t_ox"": 1.023e-07, ""work_function"": 4.611, ""gate_voltage"": 0.0451, ""drain_voltage"": 1.74}",0
m098,nmos,"{""L_gate"": 4.197e-05, ""substrate_doping"": -448400000000000.0, ""sd_peak"": 2.366e+19, ""x_j"": 1.812e-05, ""lateral_diffusion"": 6.427e-06, ""t_ox"": 5.931e-06, ""work_function"": 5.188, ""gate_voltage"": 1.655, ""drain_voltage"": -0.2461}",1
m099,nmos,"{""L_gate"": 0.0002623, ""substrate_doping"": -995000000000000.0, ""sd_peak"": 1.018e+19, ""x_j"": 3.076e-06, ""lateral_diffusion"": 9.028e-06, ""t_ox"": 2e-07, ""work_function"": 4.612, ""gate_voltage"": 2.104, ""drain_voltage"": 0.07075}",0
m100,nmos,"{""L_gate"": 6.048e-05, ""substrate_doping"": -2.131e+16, ""sd_peak"": 1.483e+19, ""x_j"": 3.425e-06, ""lateral_diffusion"": 1.95e-05, ""t_ox"": 1.204e-07, ""work_function"": 4.893, ""gate_voltage"": 2.422, ""drain_voltage"": -0.2031}",0
